ip,360风险值,国家,省/州,城市,区/县,乡镇,纬度,经度,AS号,是否IDC,是否代理,代理类型,最近代理时间,用户类型,最近7天平均终端数,最近解析域名,最近解析域名时间,服务提供商,是否有恶意行为,最近恶意行为时间,是否botnet,botnet家族,最近botnet时间,是否brute_force,最近brute_force时间,是否ddos,最近ddos时间,ddos主/被动,ddos置信度,是否scanner,最近scanner时间,scanner置信度,是否spam,最近spam时间,是否有恶意行为
36.7.103.159,2,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,sywz2016.gnway.cc,2017-06-15,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-23,false,,,false,,true,2018-01-23,active,40%,false,,,true,2018-01-19,1
39.36.91.235,0,巴基斯坦,巴基斯坦,,,,30.441851,69.359703,AS45595,false,false,,,境外家庭,,,,Pakistan Telecom Company Limited,true,2017-08-18,false,,,false,,true,2017-03-31,active,40%,true,2017-01-10,80%,true,2017-08-18,1
49.67.166.33,4,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,9002a9d71bc6.dahuaddns.com,2016-09-23,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-10,true,DSL4,2018-01-23,false,,true,2018-01-20,active,40%,true,2018-02-21,80%,true,2018-04-10,1
49.73.37.16,0,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2016-11-29,false,,,false,,true,2016-11-29,active,40%,false,,,false,,1
1.30.229.18,1,中国,内蒙古,乌海,,,39.673734,106.825563,AS4837,false,false,,,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2018-02-13,true,MinerdPool,2018-02-13,false,,true,2016-10-28,passive,40%,false,,,false,,1
58.52.181.172,2,中国,湖北,咸宁,,,29.832798,114.328963,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-17,true,MinerdPool,2017-12-30,false,,false,,,,false,,,true,2018-03-17,1
60.168.178.218,0,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,bk60617.gjpyun.com,2017-03-21,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-10-15,false,,,false,,true,2016-09-10,active,40%,false,,,true,2017-10-15,1
36.33.25.124,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,"http,https",2018-03-26,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Gh0st,2017-07-04,false,,true,2016-05-15,active,40%,true,2017-08-13,80%,true,2018-04-17,1
27.209.83.141,0,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2016-06-10,false,,,false,,true,2016-06-10,active,40%,false,,,false,,1
36.7.103.160,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,true,false,,,境内IDC,,ljwy123.gnway.cc,2018-02-25,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-17,false,,,false,,true,2016-12-15,active,40%,false,,,true,2018-04-17,1
39.90.206.108,0,中国,山东,潍坊,,,36.70925,119.107078,AS4837,false,false,,,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2016-02-02,false,,,false,,true,2016-02-02,active,40%,false,,,false,,1
49.73.37.149,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,,jsszksm.vicp.cc,2016-05-15,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-11-03,true,Artemis,2017-11-03,false,,true,2017-08-19,active,40%,false,,,false,,1
60.168.178.222,2,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,szlyck.gnway.cc,2017-11-02,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-23,false,,,false,,true,2017-12-28,active,40%,false,,,true,2018-03-23,1
1.50.175.89,2,中国,宁夏,固原,,,36.004561,106.285241,AS4134,false,false,,,境内家庭,1~20,636.8866.org,2017-08-07,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-23,true,Trojan,2017-12-29,false,,true,2018-01-23,active,40%,false,,,false,,1
49.67.167.248,2,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,renjiajie.51mypc.cn,2017-08-21,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-02-26,true,DSL4,2018-01-09,false,,true,2017-09-21,active,40%,false,,,true,2018-02-26,1
27.209.83.142,0,中国,山东,滨州,滨城区,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,edcva9028.netshare.org.cn,2015-11-13,CHINA UNICOM China169 Backbone,true,2017-07-18,false,,,false,,true,2016-02-05,active,40%,false,,,true,2017-07-18,1
58.52.182.145,1,中国,湖北,咸宁,咸安区,,29.832798,114.328963,AS4134,false,false,,,境内家庭,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-02,true,DSL4,2017-09-22,false,,false,,,,false,,,true,2018-03-02,1
36.33.25.127,3,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2017-08-24,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Zbot,2017-12-11,false,,true,2016-03-12,active,40%,false,,,true,2018-04-17,1
36.7.103.172,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,ahzsjzzn.gnway.org,2017-09-16,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-15,false,,,false,,true,2017-05-02,active,40%,false,,,true,2018-04-15,1
39.177.238.96,0,中国,江西,南昌,,,28.676493,115.892151,AS9808,false,false,,,境内家庭,1~20,,,Guangdong Mobile Communication Co.Ltd.,false,,false,,,false,,false,,,,false,,,false,,0
27.209.83.218,1,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-01-31,false,,,false,,true,2018-01-31,active,40%,false,,,false,,1
60.168.178.229,0,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",false,,false,,,false,,false,,,,false,,,false,,0
58.52.182.228,2,中国,湖北,咸宁,咸安区,,29.832798,114.328963,AS4134,false,false,,,境内家庭,1~20,hongquan.gnway.org,2015-02-05,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-20,true,Virut,2017-12-20,false,,true,2015-12-24,active,40%,false,,,true,2018-03-20,1
1.164.192.0,0,中国,台湾,台北市,,,25.0329636,121.5654268,AS3462,false,false,,,,,1-164-192-0.dynamic-ip.hinet.net,2017-06-04,Data Communication Business Group,false,,false,,,false,,false,,,,false,,,false,,0
36.33.25.128,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,false,,,境内家庭,1~20,mx.conservativesforcruz.org,2016-02-11,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Ramnit,2017-12-31,false,,true,2016-09-20,active,40%,true,2017-07-20,80%,true,2018-04-17,1
49.73.159.59,2,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,jssz05.mpc.cn,2017-09-17,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-02-04,true,Trojan,2018-01-09,false,,true,2015-12-07,active,40%,false,,,true,2018-02-04,1
49.67.188.27,1,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,xuhaibing.dahuaddns.com,2017-08-20,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-17,false,,,false,,false,,,,false,,,true,2018-04-17,1
36.7.103.175,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,ahzsjzzn.gnway.org,2017-08-21,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-05,false,,,false,,true,2017-03-15,active,40%,false,,,true,2018-04-05,1
41.82.17.239,0,塞内加尔,塞内加尔,,,,14.49945,-14.44555,AS8346,false,false,,,境外家庭,1~20,,,Autonomous System,true,2016-12-28,false,,,false,,false,,,,true,2016-12-28,80%,true,2016-09-28,1
58.52.183.245,3,中国,湖北,咸宁,咸安区,,29.832798,114.328963,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-06,true,DSL4,2017-11-10,false,,true,2017-12-25,active,40%,false,,,true,2018-04-06,1
1.180.212.0,0,中国,内蒙古,呼和浩特,,,40.818311,111.670801,AS4134,true,false,,,境内IDC,,0479.imwork.net,2017-05-11,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-09-11,true,DSL4,2017-04-05,false,,true,2017-09-11,active,40%,true,2017-05-04,80%,true,2017-05-12,1
49.73.177.64,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-24,true,DSL4,2017-07-30,false,,true,2018-03-24,passive,80%,true,2016-12-20,80%,false,,1
36.33.25.129,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2017-09-04,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-17,false,,,false,,true,2016-09-20,active,40%,true,2017-07-19,80%,true,2018-04-17,1
60.168.178.234,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-29,false,,,false,,false,,,,false,,,true,2018-01-29,1
49.67.188.154,2,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,5a0ee0c9.hanbang.org.cn,2016-06-10,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-15,true,Artemis,2018-02-28,false,,true,2016-02-17,active,40%,false,,,true,2018-04-15,1
27.209.84.9,0,中国,山东,滨州,滨城区,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,857640875sqlm-1.eicp.net,2016-06-02,CHINA UNICOM China169 Backbone,true,2015-11-29,false,,,false,,true,2015-11-29,active,40%,false,,,false,,1
36.7.103.180,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,fdjjfzb.vigorddns.com,2016-12-30,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-03,true,PirateGames,2017-09-13,false,,true,2016-02-06,active,40%,false,,,true,2018-01-03,1
41.82.29.188,0,塞内加尔,塞内加尔,,,,14.49945,-14.44555,AS8346,false,false,,,境外家庭,,,,Autonomous System,true,2016-04-17,false,,,false,,true,2016-04-17,active,40%,false,,,false,,1
36.33.25.130,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Zbot,2017-12-09,false,,true,2016-09-21,active,40%,true,2017-08-24,80%,true,2018-04-17,1
27.209.84.12,1,中国,山东,滨州,滨城区,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,vc1159.88ip.org,2016-02-23,CHINA UNICOM China169 Backbone,true,2017-11-29,true,Trojan,2017-04-14,false,,true,2017-11-29,passive,40%,false,,,false,,1
1.180.214.66,3,中国,内蒙古,呼和浩特,,,40.818311,111.670801,AS4134,false,false,,,境内宽带运营商专用出口,5001+,5a0baadc.hanbang.org.cn,2018-02-24,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-17,true,CVE-2012-0158,2018-02-22,false,,true,2018-03-31,active,40%,false,,,true,2018-04-17,1
58.54.32.0,,中国,湖北,黄石,,,30.220074,115.077048,AS4134,,,,,,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",,,,,,,,,,,,,,,,,0
49.67.188.237,2,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,xuhaibing.dahuaddns.com,2017-01-29,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-12,false,,,false,,true,2018-04-07,active,40%,false,,,true,2018-04-12,1
60.168.178.244,2,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,true,http,2017-03-20,境内家庭,,bailishangmao.iyunle.cn,2016-10-19,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-28,false,,,false,,true,2017-04-13,active,40%,true,2017-01-16,80%,true,2018-03-28,1
49.73.177.216,0,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,ywn789.dahuaddns.com,2017-03-21,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-07-20,true,DSL4,2017-07-20,false,,true,2016-11-10,active,40%,false,,,true,2017-07-20,1
36.7.103.184,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,nfcdjd1.imwork.net,2016-04-28,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-15,false,,,false,,true,2016-12-16,active,40%,true,2017-01-08,80%,true,2018-01-15,1
41.86.105.219,,南非,南非,,,,-28.47933,24.67993,AS10474,,,,,,,,,OPTINET,,,,,,,,,,,,,,,,,0
36.33.25.131,3,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2017-09-06,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Ramnit,2017-11-05,false,,true,2015-11-30,active,40%,true,2017-08-27,80%,true,2018-04-17,1
49.73.177.235,2,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,xcjs.dahuaddns.com,2016-07-11,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-04,true,PirateGames,2018-03-04,false,,true,2016-03-11,active,40%,false,,,true,2017-11-07,1
